classification,commenttext
OTHERS,todo intentionally eating events? tfm document!
OTHERS,wellformedness rule package check alias imported element doesnt conflict existing name section uml spec types name conflicts namespace checked link crnameconflict todo mvw alias another class name critic fires explanation wizard wrong!
OTHERS,make use default visibility public todo centralise knowledge see orgargoumlumldiagramuiabstractactionradiomenuitemvalueoftargetjavalangobject
OTHERS,todo bobs says purpose flag? please document
REQUIREMENT,todo
REQUIREMENT,needed
REQUIREMENT,todo maybe stop first find highest priority
REQUIREMENT,todo implement method properly?
REQUIREMENT,todo
REQUIREMENT,todo make final asap
REQUIREMENT,know critic still valid need figure corresponding todo item still valid todo item replaced name offender changed affects description contents list offenders changed check creating new todoitem verifying looks exactly really creates lot todo items goes waste
REQUIREMENT,todo here?
REQUIREMENT,following debug line single memory consuming line whole argouml allocates approximately memory allocated suggestions solutions check logloglevelfinestring string method used instead use two calls linus comment logloglevelfine applying critic _headline
REQUIREMENT,todo need change font achieve effect?
REQUIREMENT,todo work deferred actually needed display
REQUIREMENT,todo removed uml ?
REQUIREMENT,todo anything deleted elements? throws exception remove events skip tfm
REQUIREMENT,todo implement
REQUIREMENT,todo allow configuration handlers
REQUIREMENT,todo implement
REQUIREMENT,werent given system id attempt use url jar loaded why? tfm
REQUIREMENT,todo implement
REQUIREMENT,todo register listener target todo item changes new showstep requests
REQUIREMENT,todo review priority public id vs system id reversed original implementation
REQUIREMENT,todo shouldnt require two passes list tfm
REQUIREMENT,todo implement
REQUIREMENT,compute critics active ie applied applyallcritics given designer note setting global data ie isenabled bit critic based needs one designer dont really support one designer designer would support one designer agency todo loop simpler list critics compoundcritics param designer
REQUIREMENT,todo disabled always?
REQUIREMENT,todo image wizard logo
REQUIREMENT,todo
REQUIREMENT,todo buttons future enhancement buttonpaneladdconfigbutton buttonpaneladdnetworkbutton
REQUIREMENT,todo check type!
REQUIREMENT,todo uml powertypes accessed indirectly generalizationsets contain generalization since nov author jaapbranderhorstxsallnl
REQUIREMENT,todo implement
REQUIREMENT,unused currently stringbuffer taggedvaluessb gettaggedvaluesmodelelement
REQUIREMENT,todo implement
REQUIREMENT,todo placeholder implementation support tracking perproject basis implemented return dirty
REQUIREMENT,empty implementation
REQUIREMENT,todo special case? tfm
REQUIREMENT,empty implementation
REQUIREMENT,flag indicate creating new current project todo isnt threadsafe way mutual exclusion
REQUIREMENT,empty implementation
REQUIREMENT,todo
REQUIREMENT,todo indicate direction!
REQUIREMENT,todo need way set line color width testdependencies thinks creates dependency cycle fig line new argofiglinesnapx snapy snapx snapy argofigline_color linesetlinewidthargofigline_width
REQUIREMENT,apparently method never called
REQUIREMENT,todo code removed getcurrentproject removed
REQUIREMENT,todo every time need else bob
REQUIREMENT,todo tentative implementation want something updates list open projects simple open close events? tfm
REQUIREMENT,todo add empty placeholder here?
REQUIREMENT,todo
REQUIREMENT,todo needs completing stub implementation only! tfm
REQUIREMENT,todo needs
REQUIREMENT,todo removed uml ?
REQUIREMENT,todo arent throwing exception here? returning null results npe explanation
REQUIREMENT,todo expect association end check carefully? tfm
REQUIREMENT,todo checking top level package anything
REQUIREMENT,todo implement
REQUIREMENT,use little trick find argo loaded todo use different resource argoini unused deprecated
REQUIREMENT,todo placeholder implementation support tracking perproject basis implemented
REQUIREMENT,todo arent throwing exception here? returning null results npe explanation
REQUIREMENT,todo performance drain load classes startup time lazy loaded needed instead scanning classes ones implement loadable module interface use manifest entry special namename pattern look find single main module class load tfm
REQUIREMENT,enable todo default selects modules found eventually would rather obey default either modules found also information modules selected configuration
REQUIREMENT,jar clean make look like file url
REQUIREMENT,also show tagged values uml todo uml here?
REQUIREMENT,todo arent throwing exception here? returning null results npe explanation
REQUIREMENT,todo arent throwing exception here? returning null results npe explanation
REQUIREMENT,todo arent throwing exception here? returning null results npe explanation
REQUIREMENT,todo mark diagramproject dirty?
REQUIREMENT,todo potential consumers unversioned name outside notation subsystem?
REQUIREMENT,constructor todo method handle settings?
REQUIREMENT,todo defaults need checked historical ones
REQUIREMENT,todo shouldnt something here?
REQUIREMENT,todo handle parse error
REQUIREMENT,todo trycatch needed code improved
REQUIREMENT,todo name expression language configurable user according uml standard expression language elements one diagram uml sensible default usually pseudolanguage return name expression language
REQUIREMENT,todo arent throwing exception here? returning null results npe explanation
REQUIREMENT,todo need control separately attributes operations?
REQUIREMENT,todo
REQUIREMENT,need extend extensionmechanismsfactory replace deprecated call something like
REQUIREMENT,empty implementation
REQUIREMENT,todo needs work! simply throw new extension point away?
REQUIREMENT,todo find better default language todo know notation language since us
REQUIREMENT,todo put static block within init?
REQUIREMENT,todo reuse offender list
REQUIREMENT,todo next line use buildguard doesnt show guard diagram why? mvw
REQUIREMENT,todo good way handling nested notation? following fails tests new transitionnotationumltparseline
REQUIREMENT,todo good way handling nested notation?
REQUIREMENT,todo add stereotype application ecore anytype?
REQUIREMENT,todo want isaumlelement here?
REQUIREMENT,todo special handling null names? append use null
REQUIREMENT,todo dtd doesnt exist cant tell readers look wprintln!doctype profile system profiledtd need nd line make funky uml persister work remove line uncommented
REQUIREMENT,todo add implementation
REQUIREMENT,todo need project specific diagram settings
REQUIREMENT,ignored shouldnt project st place
REQUIREMENT,todo add recent patterns
REQUIREMENT,todo simply translated
REQUIREMENT,todo possible use one variable?
REQUIREMENT,todo support name kinds
REQUIREMENT,todo allow zargo profile well?
REQUIREMENT,todo check ok get first zip entry since zip file contain one xmi file thn
REQUIREMENT,todo profile dependencies uml
REQUIREMENT,todo possible use one variable?
REQUIREMENT,todo support real types
REQUIREMENT,xxx hypotheses qualifiers dont know
REQUIREMENT,todo check types!
REQUIREMENT,stylepanel class provides additional parameters changing text elements provided gef todo
REQUIREMENT,todo implement iterate todo implement sortedby todo implement subsequence
REQUIREMENT,todo possible use one variable?
REQUIREMENT,todo possible use one variable?
REQUIREMENT,todo possible use one variable?
REQUIREMENT,handle empty target lists? probably tabtext show empty pane case
REQUIREMENT,todo investigate unnamed opposite end
REQUIREMENT,todo support real numbers
REQUIREMENT,todo investigate abstractionmapping model subsystem
REQUIREMENT,todo implement oclexpression
REQUIREMENT,todo implementationlocation??
REQUIREMENT,todo check
REQUIREMENT,todo implement difference ocliskindof oclistypeof
REQUIREMENT,todo really coded way round act associations important representing current perspective act single end association tfm
REQUIREMENT,todo want use project instead name?
REQUIREMENT,todo could made efficient working iterators directly creating composite iterator made various sub iterators
REQUIREMENT,todo going cause color reset refresh
REQUIREMENT,todo presentation??
REQUIREMENT,tagged values use containing modelelement since dont property panels todo may want types too?
REQUIREMENT,reorder submenu todo think requires sure tfm
REQUIREMENT,empty implementation used
REQUIREMENT,todo add button force garbage collection
REQUIREMENT,todo fetch names defer fetching panels needed
REQUIREMENT,hide save action load otherwise get appearing title bar save enabling models updated todo still need save enablement improved?
REQUIREMENT,todo replace functioncall next line requestfocusinwindow support java
REQUIREMENT,todo beautify nd part string
REQUIREMENT,text box containing problem messages todo hidden default accessible via details button tab provide info user
REQUIREMENT,todo required
REQUIREMENT,todo better implementation would batch events logical groups update tree one time entire group synchronizing access model repository stays consistent query would likely require updates different thread event delivery thread prevent deadlocks right protect trycatch blocks
REQUIREMENT,todo copy function yet completely implemented exceptions
REQUIREMENT,todo want enabled tabs listen one selectedvisible? tfm
REQUIREMENT,drag gesture listener notified drag gestures recognizer typical response initiate drag invoking dragsourcestartdrag todo find way show different image multiple elements dragged param draggestureevent draggestureevent describing gesture occurred see javaawtdnddraggesturelistenerdraggesturerecognizedjavaawtdnddraggestureevent
REQUIREMENT,todo consider inherited attributes?
REQUIREMENT,todo support types drag set owner dragging namespace alternative could drag states composite states
REQUIREMENT,returns set union unique applicable stereotypes given collection model elements todo optimized performance param elements given collection model elements return set stereotype uml objects
REQUIREMENT,todo handle nway associations
REQUIREMENT,todo ignore report exception gettop implemented
REQUIREMENT,todo required
REQUIREMENT,called diagram font gets changed todo need anything here? see javabeanspropertychangelistenerpropertychangejavabeanspropertychangeevent
REQUIREMENT,dont know otherwise
REQUIREMENT,todo implemented
REQUIREMENT,connection ends?
REQUIREMENT,todo need specific build
REQUIREMENT,todo implemented
REQUIREMENT,todo mark diagramproject dirty?
REQUIREMENT,additional cleanup needed would removed extdestroy
REQUIREMENT,todo consider inherited attributes?
REQUIREMENT,dont know otherwise
REQUIREMENT,specialist selection class figpartitions ensures swimlanes length ie height todo make sure swimlanes appear side side uml spec states separated neighboring swimlanes vertical solid lines sides todo allow drag west east edge resize selected fig fig connected side todo show northwest southwest handle leftmost swimlane todo show northeast southeast handle rightmost swimlane author bob
REQUIREMENT,activity diagramp todo finish work subactivity states
REQUIREMENT,may actually make difference present code behind addtrigger needs work
REQUIREMENT,todo
REQUIREMENT,todo anything add here?
REQUIREMENT,todo may return following relocate implemented
REQUIREMENT,todo adding new region make last region minimum size smallest size still contain enclosed
REQUIREMENT,todo required
REQUIREMENT,todo required
REQUIREMENT,todo required
REQUIREMENT,todo really need listening events?
REQUIREMENT,todo comparison suspect use equals method code within block fact never executed hesitate change trigger code never used aware problems usage may introduce think need able find different way implement intent seems correct edge drawings actually allowed bob
REQUIREMENT,todo removing region reset overall size node
REQUIREMENT,associations supported yet todo create appropriate classdiagramedge
REQUIREMENT,todo required
REQUIREMENT,todo make another pass deal overlaps?
REQUIREMENT,todo required
REQUIREMENT,todo may return something useful relocate implemented like statemachines activitygraphs
REQUIREMENT,stylepanel adds checkbox show hide stereotypep todo author mvwtigrisorg
REQUIREMENT,todo enable models subsystems change flag work started markus believe stand? bob
REQUIREMENT,todo todoitem stuff made opaque extension
REQUIREMENT,todo uml isstatic
REQUIREMENT,todo
REQUIREMENT,todo need this?
REQUIREMENT,todo need this?
REQUIREMENT,todo needs modified uml
REQUIREMENT,backward compatibility everything right todo polar domain?
REQUIREMENT,todo would better continue loop try build rest compartment hence trycatch internal loop
REQUIREMENT,todo different colors? tfm
REQUIREMENT,todo handle changes shadowsize project properties?
REQUIREMENT,todo
REQUIREMENT,todo required
REQUIREMENT,todo add unnamed new something? localized course
REQUIREMENT,todo require graphmodel constructor since implementations setnamespace going try set namespace graphmodel well?
REQUIREMENT,perhaps something like following would work instead rectangle drawingarea globalscureditorgetjcomponentgetvisiblerect
REQUIREMENT,todo must happen awt thread
REQUIREMENT,todo need better algorithm
REQUIREMENT,needed
REQUIREMENT,todo possible use one variable?
REQUIREMENT,todo use event mechanism update checkmark presentation tab
REQUIREMENT,todo turns performance bottleneck probably optimize common case caching iterator current position assuming next request greater index
REQUIREMENT,assert arraysaslistpropertiescontains eventgetpropertyname eventgetpropertyname todo really always need notationprovider null?
REQUIREMENT,lets test situation possibilities nodes already diagram use canaddedge one nodes already diagram added nodes yet diagram time implement situation todo implement situation
REQUIREMENT,todo required
REQUIREMENT,todo required
REQUIREMENT,todo strongly typed data structure could used
REQUIREMENT,perform rerouting srcdest nodes changed pthis method needs armed previous mousedragged avoid situation user clicks node clicks unrelated fig without moving edge ptodo improve fig finding algorithm find top fig layer useful nested states statechart see javaawteventmouselistenermousereleasedjavaawteventmouseevent
REQUIREMENT,window shows progress bar cancel button convenience callers may executing thread swing event thread methods use swingutilitiesinvokelater swingutilitiesinvokeandwait make sure swing calls happen appropriate thread todo react close button cancel button pressed
REQUIREMENT,write todo check sections used within file put comments end file hint use second map compare used keys param filename file name param indent current indentation param outputlostsections true lost sections written
REQUIREMENT,todo uml here?
REQUIREMENT,todo required
REQUIREMENT,todo implement show documentation?
REQUIREMENT,todo required
REQUIREMENT,todo used instances new figfoox additional work required extract constant calculations etc
REQUIREMENT,todo work !
REQUIREMENT,todo output directory class path? project projectmanagergetmanagergetcurrentproject entriesaddpgetprojectsettingsgetgenerationoutputdir
REQUIREMENT,todo next line prevent loading usecase stereotype grow why?
REQUIREMENT,todo required
REQUIREMENT,utility function localize given string help text show status bar argouml window function used favour inline call enable later improvements eg would possible show helpballoon todo work one matter possibly improve show multiple lines param given string localized shown
REQUIREMENT,_compilecheckbox new jcheckbox namebutton_compilecheckbox checkboxcompilegeneratedsource todo implement compile feature disable checkbox _compilecheckboxsetenabledfalse southpaneladd_compilecheckbox borderlayoutsouth
REQUIREMENT,todo
REQUIREMENT,save source language model todo support multiple languages uml tagged values param node param language
REQUIREMENT,todo transformation java specific need languagenotation scheme specifying qualified names possible algorithm replace punctuation internal separator replace multiple separators single instance languages like in? tfm
REQUIREMENT,todo need add filechooser
REQUIREMENT,todo needs improved even nongui calling config panel needs initialized
REQUIREMENT,todo implement additional operations
REQUIREMENT,return fully qualified name model element java dot separated format todo really need language independent format perhaps list names form hierarchy? tfm
REQUIREMENT,needed
REQUIREMENT,todo need uml equivalent
REQUIREMENT,todo
REQUIREMENT,list objects shown combobox todo using list forces linear search trying add new element model slow large models
REQUIREMENT,generates new unique id returns string contents string supposed unique respect strings generated instances class todo consider using javautiluuid instead return string unique content
REQUIREMENT,todo
REQUIREMENT,todo add updown buttons control ordering items
REQUIREMENT,todo support name kinds
REQUIREMENT,todo add top level packages
REQUIREMENT,property comboboxmodel depicts changed uml model method make sure changes done comboboxmodel equally todo function yet completely written! inheritdoc see javabeanspropertychangelistenerpropertychangejavabeanspropertychangeevent
REQUIREMENT,todo support kinds tail
REQUIREMENT,todo right range here?
REQUIREMENT,handle empty target lists? probably wizstep show empty pane case
REQUIREMENT,class provides text field used display text comments associated annotated modelelement todo could use work currently returns commentname commentbody attributes concatenated together single readonly document since nov author tom morris tfmorrisgmailcom
REQUIREMENT,todo assert never happens removing panels control listeners
REQUIREMENT,todo implement this!
REQUIREMENT,todo updating model per character basis well unregisteringreregistering event listeners every character wasteful tfm
REQUIREMENT,todo project bound action created?
REQUIREMENT,todo would better defer initialization panel actually needs displayed perhaps optimistically always return true figure later weve got something display tfm
REQUIREMENT,panel contains radio buttons represent changeability asssociationend author jaapbranderhorstxsallnl since jan todo uml needs changed readonly frozen changeable
REQUIREMENT,todo return value?
REQUIREMENT,todo property name need updated uml unfortunately specify two property names
REQUIREMENT,todo want fire targetremoved enough stop updating targets?
REQUIREMENT,todo expression instancevalue anyone example
REQUIREMENT,implemented yet
REQUIREMENT,mock modelimplementationp facade modeleventpump factories helpers created mock objects using easymock also possibility access link mockcontrol object todo create rest getters control objects author linus tolke
REQUIREMENT,todo shall exception?
REQUIREMENT,todo new reference resolving scheme model subsystem cache systemid profile open resolve profile thus javautillist found return value present assertnotnullreturnparamtype
REQUIREMENT,todo suspect isnt needed call isnt needed dont remove till alphabeta stage
REQUIREMENT,uml model elements test todo needs updated version uml
REQUIREMENT,todo need this? emptyfiggetheight?
REQUIREMENT,todo use reflection test case ensure import nonargouml classes
REQUIREMENT,todo kind actions?
REQUIREMENT,todo maybe return message already exists check first first found activator set call message activator skip code
REQUIREMENT,todo need uml equivalent
REQUIREMENT,todo adding new region make last region minimum size smallest size still contain enclosed
REQUIREMENT,todo need remove add fig?
REQUIREMENT,todo minimum height calculated every time figmessage added removed currently doesnt work unknown problem test create two crs create message move create message bottom! fixed workaround call updateminimumheight every time minimum size needed
REQUIREMENT,todo expression instancevalue anyone example
REQUIREMENT,todo removed uml ?
REQUIREMENT,todo implement
REQUIREMENT,finds operation callevent refers based given transition function determines context statemachine contains given transition context classifier operations classifier candidates context behavioralfeature operations owner classifier candidates first operation name matches result activity diagrams context package operations classifiers package candidates todo function works normal cases needs testing rare cases eg internal transitions todo parameters candidates ignored maybe method return set matching operations author mvw param trans object type transition param opname name operation sought return object operation given name null
REQUIREMENT,get innermost containing model modelelement containing model found outermost containing modelelement returned could original element owner method intended return innermost containing model circumstances one may really expect outermost containing model root package returned eg used test two elements disjoint namespace hierarchies hence two separate methods different semantics method link getrootobject returns outermost containing object todo note also code uses orgargoumlkernelprojectgetroot navigate top instead bottom need use consistent algorithm tfm param handle model element return model model element
REQUIREMENT,todo need uml equivalent
REQUIREMENT,theres handled still need implemented
REQUIREMENT,builds actor namespace given actor object actor nothing builtp todo shouldnt silently fail passed bad argument contract change tfm param model namespace param actor given actor return actor newly built actor
REQUIREMENT,listtransition result new arraylisttransition todo complete retrieve transitions?
REQUIREMENT,todo first implementation call buildpopop extract contained actions toolbar built structure toolbar displayed left jlist label
REQUIREMENT,todo implement remaining supported types
REQUIREMENT,todo implement remaining supported types
REQUIREMENT,todo need uml equivalent
REQUIREMENT,todo gone uml
REQUIREMENT,todo unfinished implementation
REQUIREMENT,eclipse uml implementation xmiwriter todo need facilities writing reading stable ids tofrom either xmiid xmiuuid author tom morris
REQUIREMENT,todo buildcreate methods need undo support tfm
REQUIREMENT,todo bob says autogenerate list?
REQUIREMENT,needed
REQUIREMENT,todo correctly implement next function model subsystem issue
REQUIREMENT,todo need uml equivalent
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo correctly implement next function model subsystem issue
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo updating model per character basis well unregisteringreregistering event listeners every character wasteful tfm
REQUIREMENT,language must unique select current empty language todo ? alert
REQUIREMENT,needed
REQUIREMENT,property comboboxmodel depicts changed uml model method make sure changes done comboboxmodel equally todo function yet completely written! inheritdoc see javabeanspropertychangelistenerpropertychangejavabeanspropertychangeevent
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo review tool tips ? stringfieldsettooltiptexttranslatorlocalizelabelbodytooltip
REQUIREMENT,needed
REQUIREMENT,list objects shown combobox todo using list forces linear search trying add new element model slow large models
REQUIREMENT,needed
REQUIREMENT,panel shows value specification uml element todo need implements changelistener yes ok cant use without optional class optional dont need !
REQUIREMENT,needed
REQUIREMENT,todo else alert
REQUIREMENT,todo enhance isvalidnamespace function never happens
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo removing region reset overall size node
REQUIREMENT,todo gone uml
REQUIREMENT,todo implemented
REQUIREMENT,todo implemented
REQUIREMENT,todo complete
REQUIREMENT,handle empty target lists? probably wizstep show empty pane case
REQUIREMENT,todo namespaces useful wfrs?
REQUIREMENT,todo work deferred actually needed display
REQUIREMENT,todo anything allowed current diagram
REQUIREMENT,todo expect association end check carefully? tfm
REQUIREMENT,todo done yet eventually also feed rational log
REQUIREMENT,todo removed uml ?
REQUIREMENT,todo implemented
REQUIREMENT,needed
REQUIREMENT,todo need change support multiple user models
REQUIREMENT,todo nd next single hasnext
REQUIREMENT,todo fully implement this!
REQUIREMENT,todo implement following wfr generalizableelements parent must included namespace generalizableelement selfgeneralizationforallg selfnamespaceallcontentsincludesgparent return modelmanagementhelpermdrimplgetcontentsnscontains gengetparent
REQUIREMENT,todo
REQUIREMENT,needed
REQUIREMENT,todo allowing really check templateparameterdefaultelement defined
REQUIREMENT,todo implemented
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,identifier addonly changeability todo note uml version
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo correctly implement next function model subsystem issue
REQUIREMENT,make readonly copy listeners list reentrant calls back addremovelistener wont mess us todo potential performance issue need correctness tfm
REQUIREMENT,todo review callers make sure localize title process harold braun
REQUIREMENT,todo
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo default constructor deleted set dirty flag
REQUIREMENT,todo super constructors take graphmodel
REQUIREMENT,todo
REQUIREMENT,needed
REQUIREMENT,todo get project necessary context source?? egetsource
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo make efficient large ios
REQUIREMENT,todo
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo
REQUIREMENT,todo bob says autogenerate list?
REQUIREMENT,todo failed resolve url signal error
REQUIREMENT,todo countreport unresolved references
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo implement support multiple taggedvalues
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,needed
REQUIREMENT,todo treat message
REQUIREMENT,todo implement
REQUIREMENT,todo would null?
REQUIREMENT,todo treat message
REQUIREMENT,todo rework use uml tagdefinitions tfm
REQUIREMENT,todo needs undo support
REQUIREMENT,todo linear search list contain many thousands items one every fig entire project
REQUIREMENT,todo check ok literally adapted nsuml
REQUIREMENT,fix set application name mac os
REQUIREMENT,todo kind actions?
REQUIREMENT,todo use svgwriterd implementation cmd new savesvgactiontranslatorlocalizeactionsavesvg
REQUIREMENT,apparently method never called
REQUIREMENT,todo implemented yet idea problems identified critics fixed certain design manipulations transforms applied automatically resolve problem method replies true iff given problem fixed fixit method actually fix see orgargoumlcognitivepostercanfixitorgargoumlcognitivetodoitem also see criticfixit
REQUIREMENT,todo implemented yet given todoitem fixed automatically user wants happen obviously depends specific critic problem default method nothing param item todo item param arg design material ?
REQUIREMENT,list checkliststatuses indexed model element todo use weak references forgotten object removed
REQUIREMENT,todo maybe exception strings internationalized
REQUIREMENT,todo understand qualifiers
REQUIREMENT,todo convert sensible logging
REQUIREMENT,todo possible use one variable?
REQUIREMENT,reply todoitem designer see iff predicate returns true default fills fields todoitem accessor methods critic critic subclasses may override method accessor methods add computed fields todoitem todo critics may want add new fields todoitem make stillvalid efficent see criticcritique param dm offender param dsgr designer return todoitem
REQUIREMENT,todo implementation?
REQUIREMENT,todo removed uml
REQUIREMENT,categorygetrootgetloggerrepositorysetthresholdleveloff todo find proper implementation javautillogging api
REQUIREMENT,todo review callers make sure localize title
REQUIREMENT,removes listener eventtype pair listener list todo replace listener implementation eventlistenerlist better performance param event event listener listen param listener listener removed
REQUIREMENT,check offendersp called constructors offenders given todo care checking first offenders above? param offs offenders
REQUIREMENT,needed
REQUIREMENT,todo linear search list contain many thousands items one every fig entire project
REQUIREMENT,todo check
OTHERS,todo test coverage createproppanel? tfm
OTHERS,todo tests infix operators even though yet supported
OTHERS,uml metamodel mof cmof model want nodes tagownedmember attribute xmitypecmofclass todo code untested tfm
OTHERS,modules would usefule able remove factoriesp todo effect method yet tested! param factory factory remove
OTHERS,todo using assert dont want change illegalstateexception lead release dont know much testing done assert
OTHERS,test constructor used loading profile jar file todo test fignode! throws exception something goes wrong
OTHERS,modelelement abstract create tests todo add relevant tests
OTHERS,need add tests following? aggregationkind changeablekind messagedirectionkind orderingkind parameterdirectionkind pseudostatekind scopekind visibilitykind
OTHERS,todo test generated string correct
OTHERS,tests list namespaces defined getvalidnamespaceclasses contains valid namespaces todo test test anything really!
OTHERS,cleanallextentsbutmodel todo causing crash?!?
OTHERS,todo needs work test eg creation operation selected author jaapbranderhorstxsallnl since jan
OTHERS,todo requires tests run assertions enabled isnt guaranteed environments
OTHERS,reason listsetequals allocates lot memory well memory least lets try avoid needed invoking test two previous tests decisive
OTHERS,tests diagramsettings todo test chaining settings author tom morris based testprojectsettings michiel
OTHERS,todo using assert dont want change illegalstateexception lead release dont know much testing done assert
OTHERS,todo fix new sequence diagrams tested
OTHERS,todo rewrite test using reflection uml class code commented since september
OTHERS,test creation collaboration diagrams todo test creating operation author jaapbranderhorstxsallnl since jan
OTHERS,test uml xmi file make sure gets converted properly todo uml converter currently handles xmi throws filenotfoundexception indicates test configuration problem throws umlexception fails open file
OTHERS,tests list namespaces defined getvalidnamespaceclasses contains valid namespaces todo test test anything really!
OTHERS,application checked availability startup tests would expect unix developers correctly configured replace assert jre
OTHERS,todo fail doesnt
OTHERS,todo write test enumerations although yet supported
OTHERS,test read compressed models mainly verify correct reading andromda profiles todo move test argouml base want read also zip file author lmaitre
OTHERS,todo tests navigation association classes even though yet supported
OTHERS,tested need test again?
OTHERS,todo tests type conformance even though yet supported
OTHERS,testing fire conflict crnameconflict
OTHERS,todo remove leftovers tests? cleanallextents assert getfacadegetrootelementssize
OTHERS,entered prove test needed
OTHERS,todo requires tests run assertions enabled isnt guaranteed environments
OTHERS,todo fail changing name associationend? pass?
OTHERS,modules would useful able remove factories todo effect method yet tested! param factory factory remove
OTHERS,todo test
OTHERS,todo test generated string correct
OTHERS,todo tests ranges collection definition even though yet supported
OTHERS,todo tests collections collections even though yet supported question happen collections constructed ones?
OTHERS,test creation metatypes todo could add tests make sure create abstract types
OTHERS,listening remove events work todo check works new event pump tfm
OTHERS,todo need way driving panel xml rather hard coded test
OTHERS,todo prove works testumlassociationrolebasecomboboxmodel cut see orgargoumlumluiumlcomboboxmodeladdothermodeleventlistenersjavalangobject
OTHERS,todo presumably relevant obj actually model profile added test isamodelobj isaprofileobj would clarify going
OTHERS,events going explorer must pass first! come uml model via eventadapter interfacep todo cases test cases object created without setting treemodel linus add tests would better created explorer created todo explorertreenode also listens events diagrams follow rule since created september author alexb
REQUIREMENT,work rgetfoldername work rgetmessagegetuid
REQUIREMENT,todo key cant null
REQUIREMENT,bug fdietz cc cc instead tolistaddallarraysaslistrfcheadergetcc
REQUIREMENT,todo check manually set folderuid message controller make work
REQUIREMENT,bug fdietz cc cc instead
REQUIREMENT,fixme correct
REQUIREMENT,fixme correct year calculation
REQUIREMENT,fixme check id correct file name!
REQUIREMENT,todo newuid generate correctly formatted date string
REQUIREMENT,todo fix doctype
REQUIREMENT,todo key cant null
REQUIREMENT,todo fix parser exception
REQUIREMENT,fixme author fdietz locking folders currently implemented! author frd
DESIGN,todo author fdietz removed use streams!
DESIGN,fixme author karlpeder proper version html refer to?
DESIGN,hack multiline column
DESIGN,todo author tstich something
DESIGN,todo author fdietz
DESIGN,fixme remove method toolbarpaneaddc
DESIGN,todo author fdietz
DESIGN,todo author fdietz
DESIGN,todo author hubms copied frederiks search builder
DESIGN,real stupid recreation whole list model replace idbased listmodel update
DESIGN,todo author karlpeder extend handling special entities restorespecialcharacters
DESIGN,transforms emailaddresses html substituteemailaddressstring tries ignore emailaddresses already links ignore links flag set br extended functionality necessary parsing text already partly html br fixme done smarter ie directly reg expr without manual parsing?? param input text param ignorelinks true link tags ignored gives wrong result email adresses already links uses reg expr directly therefore faster return text emailadresses transformed links
DESIGN,todo return content encoding according mime part mail
DESIGN,todo return content type according mime part mail
DESIGN,hack support dockable view title update todo replace listener pattern
DESIGN,todo stop polling thread?!
DESIGN,todo author hubms bad icon tagged
DESIGN,todo categoryenumeration
DESIGN,hack start end time day event
DESIGN,register interest store changes todo dependency way around
DESIGN,todo fix layout look good even theres enough information provided
DESIGN,todo author fdietz
DESIGN,fixme ugly cast contactmodel
DESIGN,todo dont use deprecated method
DESIGN,todo must get polling interval config file
DESIGN,todo reactivate feature supported
DESIGN,folder children add todo future try fetch additional children demand tree dialog opened
DESIGN,todo author fdietz add special entities eg accenture chars ?
DESIGN,todo author waffel encrypt sign dosnt work message always encrypted need function knows encrypted signed message thus first encyrpt verifysign message message signedencrypted use gnupg extract decrypted bodypart multipartencrypted multipartsigned
DESIGN,transforms urls html substituteurlstring tries ignore urls already links ignore links flag set br extended functionality necessary parsing text already partly html br fixme done smarter ie directly reg expr without manual parsing?? param input text param ignorelinks true link tags ignored gives wrong result urls already links uses reg expr directly therefore faster return text urls
DESIGN,todo author fdietz ensure dont fetch individual headers reduce clientserver roundtrips
DESIGN,??? bad release hardocoded fix laterright
DESIGN,todo author fdietz
DESIGN,todo author fdietz
DESIGN,hack start end time day event
DESIGN,todo open stream mime part specified contentid currently viewed mail
DESIGN,something wrong
DESIGN,maybe better leave option dialog make configurable xml file anyway
